City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,bonthe,7.5264,-12.505,24.76,91,4,1.96,SL,1739146506
335,ta`u,-14.2336,-169.5144,28.75,76,47,7.32,AS,1739146507
336,santa rosalia,27.3167,-112.2833,20.83,39,44,2.27,MX,1739146508
337,freetown,8.484,-13.2299,24.79,86,6,2.95,SL,1739146510
338,buerarema,-14.9594,-39.2997,21.3,99,98,1.02,BR,1739146511
339,moab,38.5733,-109.5498,8.12,23,68,1.54,US,1739146514
340,perros-guirec,48.8145,-3.4396,4.61,81,94,4.18,FR,1739146515
341,minas de marcona,-15.2119,-75.1103,18.79,86,97,3.5,PE,1739146517
342,hluti,-27.2167,31.6167,18.83,86,56,2.15,SZ,1739146397
343,christiana,-27.914,25.1611,25.07,50,95,1.98,ZA,1739146519
344,rosenheim,47.8564,12.1225,-0.66,95,99,0.87,DE,1739146521
345,warwick,41.7001,-71.4162,-0.72,85,83,2.7,US,1739146523
346,qaqortoq,60.7167,-46.0333,-3.72,94,100,3.01,GL,1739146524
347,ugoofaaru,5.6667,73.0,27.25,73,100,6.84,MV,1739146526
348,brookings,44.3114,-96.7984,-7.75,75,0,3.09,US,1739146527
349,maputo,-25.9653,32.5892,25.02,71,63,6.94,MZ,1739146528
350,balqash,46.8481,74.995,-12.44,83,1,6.07,KZ,1739146293
351,polyarnyy,69.1989,33.4478,-4.14,86,29,13.05,RU,1739146531
352,i-n-salah,27.1935,2.4607,14.54,25,0,7.83,DZ,1739146532
353,okha,53.5739,142.9478,-18.32,96,70,5.57,RU,1739146533
354,port macquarie,-31.4333,152.9167,26.71,77,98,3.58,AU,1739146534
355,mandalgovi,45.7625,106.2708,-17.72,80,46,2.94,MN,1739146535
356,borba,-4.3878,-59.5939,23.79,97,97,1.0,BR,1739146536
357,dolinsk,47.35,142.8,-6.76,83,100,0.69,RU,1739146537
358,sansanne-mango,10.3592,0.4708,28.3,17,82,2.14,TG,1739146538
